Name,Description,BC_Unit,BC_Inner,BC_Outer
200246BX,Sippy Cup - latte,9353965003649,39353965003640,49353965003647
200208BX,Sippy Cup - ocean,9353965003793,39353965003794,49353965003791
200210BX,Sippy Cup - sage,9353965003946,39353965003947,49353965003944
501BX,Sippy Cup - blueberry,9353965005018,39353965005019,49353965005016
502BX,Sippy Cup - raspberry,9353965005025,39353965005026,49353965005023
503BX,Sippy Cup - apple,9353965005032,39353965005033,49353965005030
504BX,Sippy Cup - grape,9353965005049,39353965005040,49353965005047
505BX,Sippy Cup - mango,9353965005056,39353965005057,49353965005054
506BX,Sippy Cup - mint,9353965005063,39353965005064,49353965005061
507BX,Sippy Cup - lemon,9353965005070,39353965005071,49353965005078
508BX,Sippy Cup - cobalt,9353965005087,39353965005088,49353965005085
509BX,Sippy Cup - orange zing,9353965005094,39353965005095,49353965005092
510BX,Sippy Cup - watermelon,9353965005100,39353965005101,49353965005108
511BX,Sippy Cup - pink pomegranate,9353965005117,39353965005118,49353965005115
512BX,Sippy Cup - pineapple,9353965005124,39353965005125,49353965005122
200232BX,Sippy Cup - glow in the dark,9353965005230,39353965005231,49353965005238
200211BX,Sippy Cup - blush,9353965005292,59353965005297,69353965005294
200238BX,Sippy Cup - grey,9353965010609,39353965010600,49353965010607
513BX,Sippy Cup - aqua,9353965005131,39353965005132,49353965005139
516BX,Sippy Cup - cherry blossom,9353965005162,39353965005163,49353965005160
517BX,Sippy Cup - jade,9353965005179,39353965005170,49353965005177
518BX,Sippy Cup - boysenberry,9353965005186,59353965005181,69353965005188
519BX,Sippy Cup - bubblegum,9353965005193,79353965005192,89353965005199
520BX,Sippy Cup - pistachio,9353965005209,59353965005204,69353965005201
521BX,Sippy Cup - tutti frutti,9353965005216,59353965005211,69353965005218
522BX,Sippy Cup - banana split,9353965005223,59353965005228,69353965005225
528BX,Sippy Cup - indigo rose,9353965005285,39353965005286,49353965005283
400838BX,Snackbox - graphite,9353965004240,39353965004241,49353965004248
0679BX,Snackbox - spearmint,9353965006794,39353965006795,49353965006792
400803BX,Snackbox - lilac pop,9353965006862,59353965006867,69353965006864
400807BX,Snackbox - emerald forest,9353965006879,59353965006874,69353965006871
0688BX,Snackbox - blush crush,9353965006886,59353965006881,69353965006888
0689BX,Snackbox - lemon twist,9353965006893,39353965006894,49353965006891
0699BX,Snackbox - chill out,9353965006992,39353965006993,49353965006990
0700BX,Snackbox - midnight,9353965007005,39353965007006,49353965007003
1378BX,Snackbox - sugar plum,9353965013785,39353965013786,49353965013783
1379BX,Snackbox - night vision,9353965013792,39353965013793,49353965013790
400840BX,Snackbox - feeling peachy,9353965004257,39353965004258,49353965004255
680BX,Snackbox - ocean breeze,9353965006800,59353965006805,69353965006802
681BX,Snackbox - strawberry shake,9353965006817,59353965006812,69353965006819
684BX,Snackbox - blue slate,9353965006848,59353965006843,69353965006840
685BX,Snackbox - indigo rose,9353965006855,59353965006850,69353965006857
400848BX,Snackbox - blue blaze,9353965007678,39353965007679,49353965007676
400849BX,Snackbox - flamingo fizz,9353965007685,39353965007686,49353965007683
200508BX,Spout Cup - ocean,9353965004097,39353965004098,49353965004095
200510BX,Spout Cup - sage,9353965004103,39353965004104,49353965004101
200511BX,Spout Cup - blush,9353965004141,39353965004142,49353965004149
620BX,Spout Cup - blueberry,9353965006206,39353965006207,49353965006204
621BX,Spout Cup - raspberry,9353965006213,39353965006214,49353965006211
622BX,Spout Cup -grape,9353965006220,39353965006221,49353965006228
623BX,Spout Cup - lemon,9353965006237,39353965006238,49353965006235
630BX,Training Cup - blueberry,9353965006305,39353965006306,49353965006303
631BX,Training Cup - raspberry,9353965006312,39353965006313,49353965006310
632BX,Training Cup - grape,9353965006329,39353965006320,49353965006327
633BX,Training Cup - lemon,9353965006336,39353965006337,49353965006334
201008BX,Training Cup - ocean,9353965007746,39353965007747,49353965007744
201010BX,Training Cup - sage,9353965007753,39353965007754,49353965007751
201011BX,Training Cup - blush,9353965007760,39353965007761,49353965007768
